reaction,r_2051
r_0006,-0.007690247912409577
r_0070,0.0
r_0094,0.0
r_0099,0.0
r_0200,0.0
r_0461,0.0
r_0465,0.0
r_0484,0.0
r_0500,0.0
r_0695,0.0
r_0970,-0.00012137978141111522
r_0971,-0.00012188226422171011
r_0972,-8.657231941079768e-05
r_0973,-7.986002410418658e-05
r_1008,0.0
r_1009,0.0
r_2113,0.0
r_2114,-0.0002040959483564888
r_2213,0.0
r_2214,0.0
r_2215,0.0
r_2216,0.0
r_2217,0.0
r_2218,0.0
r_1028,0.0
r_1096,0.0
r_1097,0.0
r_1098,0.0
r_1099,-0.009679244652489295
r_1100,0.0
r_1101,0.0
r_1102,1.9584680268129947e-08
r_1103,0.0
r_1104,0.0
r_1106,0.0
r_1107,-0.0006237141281693754
r_1108,0.0
r_1109,0.0
r_1110,-0.004640069308340603
r_1111,0.0
r_1112,0.0
r_1113,0.0
r_1114,0.0
r_1115,0.007351085037256192
r_1116,-1.7769234797671868e-08
r_1118,0.0
r_1119,0.0
r_1120,0.016694013782435606
r_1121,0.0
r_1122,0.0
r_1123,0.0
r_1124,0.0
r_1125,0.0
r_1126,0.0
r_1127,0.007276200532891024
r_1128,0.0
r_1129,-0.0055471221034711264
r_1130,0.0
r_1131,0.0
r_1132,0.0
r_1133,0.0
r_1134,0.0
r_1135,0.0
r_1136,0.0
r_1137,0.0
r_1138,0.0
r_1139,0.0
r_1146,0.0
r_1147,0.0
r_1148,0.0
r_1149,0.0
r_1151,0.0
r_1161,0.0
r_1162,0.0
r_1164,0.0
r_1165,0.0
r_1166,-1.0642177210263886
r_1167,0.0
r_1169,0.0
r_1170,0.0
r_1171,0.0
r_1172,0.0
r_1173,0.0
r_1174,0.0
r_1175,0.0
r_1176,0.0
r_1177,0.0
r_1179,-9.020929372932878e-09
r_1180,0.0
r_1181,0.0
r_1182,0.0
r_1183,0.0
r_1184,0.0
r_1185,0.0
r_1186,0.0
r_1187,0.0
r_1188,0.0
r_1189,0.0
r_1190,0.0
r_1191,0.0
r_1192,0.0
r_1193,0.0
r_1194,0.13915117026865687
r_1195,0.0
r_1196,0.0
r_1197,0.0
r_1198,0.0
r_1199,0.0
r_1200,0.0
r_1201,0.0
r_1202,0.0
r_1203,0.0
r_1204,0.0
r_1205,0.0
r_1206,0.0
r_1207,0.0
r_1208,0.0
r_1209,0.0
r_1210,0.0
r_1211,0.0
r_1212,0.0
r_1213,0.0
r_1214,0.0
r_1215,0.0
r_1216,0.0
r_1217,0.0
r_1218,0.0
r_1219,0.0
r_1220,0.0
r_1221,0.0
r_1222,0.0
r_1223,0.0
r_1224,0.0
r_1225,0.0
r_1226,-0.008700710653859734
r_1227,0.0
r_1228,0.0
r_1229,0.0
r_1230,0.0
r_1231,0.0
r_1232,0.0
r_1235,0.0
r_1236,0.0
r_1237,0.07459575285301373
r_1238,0.0
r_1239,-0.03068401961149116
r_1241,0.0
r_1242,0.0
r_1243,0.0
r_1244,-0.24295905892569403
r_1245,0.0
r_1249,-0.00012205408443716752
r_1251,0.0
r_1252,0.0
r_1253,0.0
r_1254,0.0
